limit, count
1.0 ,  0
1.1 ,  0
1.2 ,  3
1.3 ,  68
1.4 ,  9
1.5 ,  8
1.6 ,  7
1.7 ,  32
1.8 ,  27
1.9 ,  19
2.0 ,  6
2.1 ,  12
2.2 ,  15
2.3 ,  20
2.4 ,  6
2.5 ,  5
2.6 ,  4
2.7 ,  6
2.8 ,  1
2.9 ,  2
3.0 ,  1
3.1 ,  2
3.2 ,  0
3.3 ,  0
3.4 ,  1
