limit, count
1.0 ,  0
1.1 ,  283
1.2 ,  423
1.3 ,  450
1.4 ,  468
1.5 ,  477
1.6 ,  488
1.7 ,  499
1.8 ,  506
1.9 ,  520
2.0 ,  536
2.1 ,  539
2.2 ,  552
2.3 ,  558
2.4 ,  569
2.5 ,  584
2.6 ,  595
2.7 ,  608
2.8 ,  619
2.9 ,  631
3.0 ,  644
3.1 ,  655
3.2 ,  663
3.3 ,  669
3.4 ,  681
3.5 ,  692
3.6 ,  701
3.7 ,  709
3.8 ,  721
3.9 ,  729
4.0 ,  737
4.1 ,  746
4.2 ,  753
4.3 ,  762
4.4 ,  766
4.5 ,  774
4.6 ,  781
4.7 ,  783
4.8 ,  786
4.9 ,  790
5.0 ,  793
5.1 ,  796
5.2 ,  806
5.3 ,  808
5.4 ,  809
5.5 ,  815
5.6 ,  819
5.7 ,  822
5.8 ,  824
5.9 ,  828
6.0 ,  831
6.1 ,  834
6.2 ,  842
6.3 ,  850
6.4 ,  854
6.5 ,  858
6.6 ,  861
6.7 ,  864
6.8 ,  872
6.9 ,  875
7.0 ,  881
7.1 ,  886
7.2 ,  890
7.3 ,  898
7.4 ,  901
7.5 ,  908
7.6 ,  913
7.7 ,  918
7.8 ,  919
7.9 ,  922
8.0 ,  922
8.1 ,  925
8.2 ,  928
8.3 ,  932
8.4 ,  937
8.5 ,  940
8.6 ,  947
8.7 ,  949
8.8 ,  951
8.9 ,  953
9.0 ,  955
9.1 ,  961
9.2 ,  963
9.3 ,  963
9.4 ,  968
9.5 ,  968
9.6 ,  969
9.7 ,  969
9.8 ,  971
9.9 ,  973
10.0 ,  974
10.1 ,  976
10.2 ,  978
10.3 ,  979
10.4 ,  980
10.5 ,  982
10.6 ,  982
10.7 ,  984
10.8 ,  984
10.9 ,  986
11.0 ,  987
11.1 ,  988
11.2 ,  989
11.3 ,  990
11.4 ,  990
11.5 ,  990
11.6 ,  992
11.7 ,  992
11.8 ,  992
11.9 ,  993
12.0 ,  994
12.1 ,  994
12.2 ,  994
12.3 ,  994
12.4 ,  994
12.5 ,  996
12.6 ,  996
12.7 ,  996
12.8 ,  996
12.9 ,  996
13.0 ,  996
13.1 ,  996
13.2 ,  997
13.3 ,  997
13.4 ,  997
13.5 ,  998
13.6 ,  999
13.7 ,  999
13.8 ,  999
13.9 ,  999
14.0 ,  999
14.1 ,  999
14.2 ,  999
14.3 ,  999
14.4 ,  999
14.5 ,  999
14.6 ,  999
14.7 ,  999
14.8 ,  999
14.9 ,  999
15.0 ,  999
15.1 ,  999
15.2 ,  999
15.3 ,  999
15.4 ,  999
15.5 ,  1000
