limit, count
1.0 ,  0
1.1 ,  11
1.2 ,  86
1.3 ,  90
1.4 ,  91
1.5 ,  94
1.6 ,  97
1.7 ,  98
1.8 ,  102
1.9 ,  105
2.0 ,  110
2.1 ,  117
2.2 ,  119
2.3 ,  123
2.4 ,  124
2.5 ,  126
2.6 ,  130
2.7 ,  135
2.8 ,  136
2.9 ,  139
3.0 ,  141
3.1 ,  141
3.2 ,  145
3.3 ,  147
3.4 ,  149
3.5 ,  150
3.6 ,  158
3.7 ,  158
3.8 ,  160
3.9 ,  161
4.0 ,  165
4.1 ,  167
4.2 ,  168
4.3 ,  169
4.4 ,  170
4.5 ,  170
4.6 ,  171
4.7 ,  172
4.8 ,  173
4.9 ,  175
5.0 ,  175
5.1 ,  175
5.2 ,  175
5.3 ,  175
5.4 ,  175
5.5 ,  175
5.6 ,  177
5.7 ,  177
5.8 ,  178
5.9 ,  180
6.0 ,  180
6.1 ,  180
6.2 ,  182
6.3 ,  182
6.4 ,  183
6.5 ,  185
6.6 ,  185
6.7 ,  186
6.8 ,  187
6.9 ,  188
7.0 ,  189
7.1 ,  189
7.2 ,  190
7.3 ,  192
7.4 ,  193
7.5 ,  194
7.6 ,  194
7.7 ,  194
7.8 ,  195
