id, model-name, radio
1 , yolov2 , 1.3970264003882675
2 , resnet50 , 1.5410709098025184
3 , googlenet , 1.303439865833705
4 , squeezenetv1 , 1.3148048827869419
5 , vgg19 , 1.2027913105708554
6 , yolov2 , 7.2292415555789145
7 , resnet50 , 2.428963012223486
8 , googlenet , 1.32200205852031
9 , yolov2 , 1.353228532557515
10 , resnet50 , 1.2551881358890586
11 , vgg19 , 1.1211623708298983
12 , squeezenetv1 , 5.377792954990743
13 , yolov2 , 1.0896355831340157
14 , googlenet , 1.1093105263557195
15 , resnet50 , 1.5329504140321977
16 , yolov2 , 1.0521174234085915
17 , vgg19 , 1.0
18 , resnet50 , 2.713752747489506
19 , googlenet , 5.167795958657629
20 , squeezenetv1 , 5.462988033697434
21 , yolov2 , 1.5962106303180132
22 , resnet50 , 1.0119898664822862
23 , googlenet , 1.090969295846122
24 , vgg19 , 1.0
25 , yolov2 , 7.400729713645095
26 , squeezenetv1 , 1.230148123080979
27 , resnet50 , 1.264818174723752
28 , yolov2 , 1.0749825725757491
29 , googlenet , 1.0801414115784602
30 , resnet50 , 1.0088666294278292
31 , vgg19 , 1.2511436882592186
32 , squeezenetv1 , 3.2267834367945913
33 , yolov2 , 3.750684216915324
34 , resnet50 , 1.0359869744821297
35 , googlenet , 1.103012630143245
36 , yolov2 , 1.0926949320459063
37 , vgg19 , 1.0
38 , resnet50 , 2.4712832367049704
39 , squeezenetv1 , 2.6335127708610004
40 , googlenet , 1.1453299954732785
41 , yolov2 , 1.0608125928621233
42 , resnet50 , 1.0070967586921344
43 , vgg19 , 1.0
44 , googlenet , 2.204146923726006
45 , yolov2 , 4.371745943435407
46 , resnet50 , 1.616341647602116
47 , squeezenetv1 , 2.072140008634411
48 , yolov2 , 1.0629058800847326
49 , resnet50 , 1.0116254871711676
50 , vgg19 , 1.0441153526914138
51 , googlenet , 3.9836844141688914
52 , squeezenetv1 , 1.1965007467988855
53 , yolov2 , 2.467500454736954
54 , resnet50 , 1.6007252637579996
55 , googlenet , 1.0879861484006006
56 , vgg19 , 1.0
57 , resnet50 , 2.8526859123809736
58 , yolov2 , 8.695507291032342
59 , squeezenetv1 , 1.155989225662003
60 , googlenet , 1.1187021037875255
61 , resnet50 , 1.5338873752199431
62 , yolov2 , 3.960012939176274
63 , vgg19 , 1.0
64 , resnet50 , 1.06310731953643
65 , yolov2 , 3.647791199225615
66 , squeezenetv1 , 1.2095559452257207
67 , googlenet , 1.3863066883364845
68 , resnet50 , 1.0044419525885924
69 , yolov2 , 1.0978476449616565
70 , vgg19 , 1.087653595579331
71 , googlenet , 4.228196923346672
72 , resnet50 , 1.1796571697040545
73 , squeezenetv1 , 3.6053836777545962
74 , yolov2 , 1.0954323371759533
75 , resnet50 , 1.0094912371243543
76 , googlenet , 1.9086991028324465
77 , vgg19 , 1.1737798839578375
78 , yolov2 , 5.572325519023975
79 , squeezenetv1 , 2.070255763777305
80 , resnet50 , 1.0146966984057264
81 , googlenet , 1.1203594781710022
82 , yolov2 , 1.7311470742543025
83 , vgg19 , 1.0
84 , resnet50 , 3.4032134085232193
85 , squeezenetv1 , 1.82597586844531
86 , yolov2 , 1.3388974657810921
87 , googlenet , 1.0859973834369196
88 , resnet50 , 1.0
89 , yolov2 , 1.105737763007454
90 , vgg19 , 1.0300108374213623
91 , resnet50 , 1.1158384665806587
